"motivator_number","motivator","model","model_year","guest_signals","recommended_trim_path","on_lot_handles","demo_60_seconds","translate_line","invite_next_step","coach_roleplay_prompt","compliance_note"
"5","Reward","elantra_hybrid","2026","Wants performance, style, ‘fun factor,’ rugged look, or a trim that feels exciting.","hev_sel_sport -> limited","Lean into emotional benefits: look, feel, and capability. Tie features to lifestyle.","Show 1 design cue + 1 performance/capability cue + 1 ‘wow’ tech feature.","“This is the trim that feels like a reward — it’s the one you’ll be excited to drive.”","“If this is the one that makes you smile, want to take it for a quick drive right now?”","Practice converting ‘I want the sporty one’ into a tight feature story + next step.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"6","Connection","elantra_hybrid","2026","Talks about family/friends, comfort for passengers, space, and shared experiences.","hev_sel_sport -> limited","Seat them where they’ll ride most. Show comfort/space and the ‘together’ features.","Demonstrate passenger comfort: second-row access, storage, and a shared-tech feature.","“This trim is about making everyone comfortable — it’s designed for the people riding with you.”","“Want to sit in both seating layouts so you can feel the difference?”","Practice framing features as ‘how your family uses it’ rather than listing specs.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"1","Self-Validation","ioniq_5_awd","2026","Asks for the ‘best’ trim, standout design, premium feel, or status features.","sel -> limited","Start with top-trim walkaround cues (design, materials, tech). Confirm what ‘premium’ means to them.","Show 1 exterior presence cue + 1 interior materials/tech cue + 1 convenience feature they’ll use daily.","“This trim is designed to feel premium every time you get in — it’s the one that makes the biggest impression.”","“If we can get this exact trim in the color you want, are you ready to move forward today?”","Practice turning a ‘Why is this more?’ question into a benefits-first explanation tied to premium feel.","Avoid quoting range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package—confirm on the unit in front of you."
"2","Autonomy","ioniq_5_awd","2026","Wants a simple process, hates pressure, values flexibility and control over the decision.","se -> sel","Keep it simple: confirm driving pattern, then show charging plan and the convenience features that make ownership easy.","Show charge port + charging basics (home vs public) + one simple control feature (app/driver settings).","“This is the trim that keeps things straightforward — it gives you control without the extra noise.”","“Which direction do you want to go: best value, most convenience, or quickest availability?”","Practice giving two options and pausing (no over-talking) so the guest stays in control.","Avoid quoting range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package—confirm on the unit in front of you."
"3","Prudence","ioniq_5_awd","2026","Compares trims, asks for data, wants ‘smart value’ and long-term cost clarity.","se -> xrt_tow_hitch","Keep it simple: confirm driving pattern, then show charging plan and the convenience features that make ownership easy.","Show charge port + charging basics (home vs public) + one simple control feature (app/driver settings).","“If you’re making the smart decision, this trim gives you the best return for what you actually use.”","“Want to compare these two trims side-by-side on price and key features?”","Practice answering ‘What’s the difference?’ with 3 bullets: safety, comfort, tech (verified).","Avoid quoting range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package—confirm on the unit in front of you."
"4","Security","ioniq_5_awd","2026","Mentions family safety, weather, reliability, driver-assist, or ‘peace of mind.’","sel -> limited","Confirm their safety priorities, then demonstrate the confidence features that match.","Show driver-assist basics + visibility + stability/traction story; confirm expectations on what the tech does/doesn’t do.","“This trim is built to help you feel confident — it’s about peace of mind on every drive.”","“If this meets your safety checklist, should we lock in the exact one you want?”","Practice explaining driver-assist as ‘support’ (not autonomous driving) and confirming expectations.","Avoid quoting range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package—confirm on the unit in front of you."
"5","Reward","ioniq_5_awd","2026","Wants performance, style, ‘fun factor,’ rugged look, or a trim that feels exciting.","xrt -> limited","Lean into emotional benefits: look, feel, and capability. Tie features to lifestyle.","Show 1 design cue + 1 performance/capability cue + 1 ‘wow’ tech feature.","“This is the trim that feels like a reward — it’s the one you’ll be excited to drive.”","“If this is the one that makes you smile, want to take it for a quick drive right now?”","Practice converting ‘I want the sporty one’ into a tight feature story + next step.","Avoid quoting range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package—confirm on the unit in front of you."
"6","Connection","ioniq_5_awd","2026","Talks about family/friends, comfort for passengers, space, and shared experiences.","sel -> limited","Seat them where they’ll ride most. Show comfort/space and the ‘together’ features.","Demonstrate passenger comfort: second-row access, storage, and a shared-tech feature.","“This trim is about making everyone comfortable — it’s designed for the people riding with you.”","“Want to sit in both seating layouts so you can feel the difference?”","Practice framing features as ‘how your family uses it’ rather than listing specs.","Avoid quoting range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package—confirm on the unit in front of you."
"1","Self-Validation","ioniq_9_awd","2026","Asks for the ‘best’ trim, standout design, premium feel, or status features.","performance_limited_awd -> performance_calligraphy_awd -> performance_calligraphy_design_awd","Start with top-trim walkaround cues (design, materials, tech). Confirm what ‘premium’ means to them.","Show 1 exterior presence cue + 1 interior materials/tech cue + 1 convenience feature they’ll use daily.","“This trim is designed to feel premium every time you get in — it’s the one that makes the biggest impression.”","“If we can get this exact trim in the color you want, are you ready to move forward today?”","Practice turning a ‘Why is this more?’ question into a benefits-first explanation tied to premium feel.","Avoid quoting range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package—confirm on the unit in front of you."
"2","Autonomy","ioniq_9_awd","2026","Wants a simple process, hates pressure, values flexibility and control over the decision.","se_awd -> sel_awd","Keep it simple: confirm driving pattern, then show charging plan and the convenience features that make ownership easy.","Show charge port + charging basics (home vs public) + one simple control feature (app/driver settings).","“This is the trim that keeps things straightforward — it gives you control without the extra noise.”","“Which direction do you want to go: best value, most convenience, or quickest availability?”","Practice giving two options and pausing (no over-talking) so the guest stays in control.","Avoid quoting range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package—confirm on the unit in front of you."
"3","Prudence","ioniq_9_awd","2026","Compares trims, asks for data, wants ‘smart value’ and long-term cost clarity.","se_awd -> sel_awd","Keep it simple: confirm driving pattern, then show charging plan and the convenience features that make ownership easy.","Show charge port + charging basics (home vs public) + one simple control feature (app/driver settings).","“If you’re making the smart decision, this trim gives you the best return for what you actually use.”","“Want to compare these two trims side-by-side on price and key features?”","Practice answering ‘What’s the difference?’ with 3 bullets: safety, comfort, tech (verified).","Avoid quoting range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package—confirm on the unit in front of you."
"4","Security","ioniq_9_awd","2026","Mentions family safety, weather, reliability, driver-assist, or ‘peace of mind.’","se_awd","Confirm their safety priorities, then demonstrate the confidence features that match.","Show driver-assist basics + visibility + stability/traction story; confirm expectations on what the tech does/doesn’t do.","“This trim is built to help you feel confident — it’s about peace of mind on every drive.”","“If this meets your safety checklist, should we lock in the exact one you want?”","Practice explaining driver-assist as ‘support’ (not autonomous driving) and confirming expectations.","Avoid quoting range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package—confirm on the unit in front of you."
"5","Reward","ioniq_9_awd","2026","Wants performance, style, ‘fun factor,’ rugged look, or a trim that feels exciting.","performance_calligraphy_awd -> performance_calligraphy_design_awd","Lean into emotional benefits: look, feel, and capability. Tie features to lifestyle.","Show 1 design cue + 1 performance/capability cue + 1 ‘wow’ tech feature.","“This is the trim that feels like a reward — it’s the one you’ll be excited to drive.”","“If this is the one that makes you smile, want to take it for a quick drive right now?”","Practice converting ‘I want the sporty one’ into a tight feature story + next step.","Avoid quoting range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package—confirm on the unit in front of you."
"6","Connection","ioniq_9_awd","2026","Talks about family/friends, comfort for passengers, space, and shared experiences.","sel_awd","Seat them where they’ll ride most. Show comfort/space and the ‘together’ features.","Demonstrate passenger comfort: second-row access, storage, and a shared-tech feature.","“This trim is about making everyone comfortable — it’s designed for the people riding with you.”","“Want to sit in both seating layouts so you can feel the difference?”","Practice framing features as ‘how your family uses it’ rather than listing specs.","Avoid quoting range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package—confirm on the unit in front of you."
"1","Self-Validation","kona_awd","2026","Asks for the ‘best’ trim, standout design, premium feel, or status features.","sel_premium_awd -> limited","Start with top-trim walkaround cues (design, materials, tech). Confirm what ‘premium’ means to them.","Show 1 exterior presence cue + 1 interior materials/tech cue + 1 convenience feature they’ll use daily.","“This trim is designed to feel premium every time you get in — it’s the one that makes the biggest impression.”","“If we can get this exact trim in the color you want, are you ready to move forward today?”","Practice turning a ‘Why is this more?’ question into a benefits-first explanation tied to premium feel.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"2","Autonomy","kona_awd","2026","Wants a simple process, hates pressure, values flexibility and control over the decision.","se -> sel_sport_awd","Offer 2 clear options and let them choose the path (features vs payment vs availability).","Demonstrate ease-of-use: phone pairing, driver settings, and one ‘friction remover’ feature.","“This is the trim that keeps things straightforward — it gives you control without the extra noise.”","“Which direction do you want to go: best value, most convenience, or quickest availability?”","Practice giving two options and pausing (no over-talking) so the guest stays in control.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"3","Prudence","kona_awd","2026","Compares trims, asks for data, wants ‘smart value’ and long-term cost clarity.","se","Use a simple value ladder: base value → key upgrade → best overall value. Keep it factual.","Show the ‘value delta’ feature: the one upgrade that clearly justifies stepping up (or staying put).","“If you’re making the smart decision, this trim gives you the best return for what you actually use.”","“Want to compare these two trims side-by-side on price and key features?”","Practice answering ‘What’s the difference?’ with 3 bullets: safety, comfort, tech (verified).","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"4","Security","kona_awd","2026","Mentions family safety, weather, reliability, driver-assist, or ‘peace of mind.’","se -> sel_premium_awd","Confirm their safety priorities, then demonstrate the confidence features that match.","Show driver-assist basics + visibility + one stability/traction story relevant to local roads.","“This trim is built to help you feel confident — it’s about peace of mind on every drive.”","“If this meets your safety checklist, should we lock in the exact one you want?”","Practice explaining driver-assist as ‘support’ (not autonomous driving) and confirming expectations.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"5","Reward","kona_awd","2026","Wants performance, style, ‘fun factor,’ rugged look, or a trim that feels exciting.","sel_sport_awd","Lean into emotional benefits: look, feel, and capability. Tie features to lifestyle.","Show 1 design cue + 1 performance/capability cue + 1 ‘wow’ tech feature.","“This is the trim that feels like a reward — it’s the one you’ll be excited to drive.”","“If this is the one that makes you smile, want to take it for a quick drive right now?”","Practice converting ‘I want the sporty one’ into a tight feature story + next step.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"6","Connection","kona_awd","2026","Talks about family/friends, comfort for passengers, space, and shared experiences.","sel_premium_awd","Seat them where they’ll ride most. Show comfort/space and the ‘together’ features.","Demonstrate passenger comfort: second-row access, storage, and a shared-tech feature.","“This trim is about making everyone comfortable — it’s designed for the people riding with you.”","“Want to sit in both seating layouts so you can feel the difference?”","Practice framing features as ‘how your family uses it’ rather than listing specs.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"1","Self-Validation","palisade_awd","2026","Asks for the ‘best’ trim, standout design, premium feel, or status features.","limited -> calligraphy","Start with top-trim walkaround cues (design, materials, tech). Confirm what ‘premium’ means to them.","Show 1 exterior presence cue + 1 interior materials/tech cue + 1 convenience feature they’ll use daily.","“This trim is designed to feel premium every time you get in — it’s the one that makes the biggest impression.”","“If we can get this exact trim in the color you want, are you ready to move forward today?”","Practice turning a ‘Why is this more?’ question into a benefits-first explanation tied to premium feel.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"2","Autonomy","palisade_awd","2026","Wants a simple process, hates pressure, values flexibility and control over the decision.","sel_convenience","Offer 2 clear options and let them choose the path (features vs payment vs availability).","Demonstrate ease-of-use: phone pairing, driver settings, and one ‘friction remover’ feature.","“This is the trim that keeps things straightforward — it gives you control without the extra noise.”","“Which direction do you want to go: best value, most convenience, or quickest availability?”","Practice giving two options and pausing (no over-talking) so the guest stays in control.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"3","Prudence","palisade_awd","2026","Compares trims, asks for data, wants ‘smart value’ and long-term cost clarity.","se -> sel_convenience","Use a simple value ladder: base value → key upgrade → best overall value. Keep it factual.","Show the ‘value delta’ feature: the one upgrade that clearly justifies stepping up (or staying put).","“If you’re making the smart decision, this trim gives you the best return for what you actually use.”","“Want to compare these two trims side-by-side on price and key features?”","Practice answering ‘What’s the difference?’ with 3 bullets: safety, comfort, tech (verified).","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"4","Security","palisade_awd","2026","Mentions family safety, weather, reliability, driver-assist, or ‘peace of mind.’","se -> sel_convenience -> limited","Confirm their safety priorities, then demonstrate the confidence features that match.","Show driver-assist basics + visibility + one stability/traction story relevant to local roads.","“This trim is built to help you feel confident — it’s about peace of mind on every drive.”","“If this meets your safety checklist, should we lock in the exact one you want?”","Practice explaining driver-assist as ‘support’ (not autonomous driving) and confirming expectations.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"5","Reward","palisade_awd","2026","Wants performance, style, ‘fun factor,’ rugged look, or a trim that feels exciting.","xrt_pro","Lean into emotional benefits: look, feel, and capability. Tie features to lifestyle.","Show 1 design cue + 1 performance/capability cue + 1 ‘wow’ tech feature.","“This is the trim that feels like a reward — it’s the one you’ll be excited to drive.”","“If this is the one that makes you smile, want to take it for a quick drive right now?”","Practice converting ‘I want the sporty one’ into a tight feature story + next step.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"6","Connection","palisade_awd","2026","Talks about family/friends, comfort for passengers, space, and shared experiences.","sel_8p -> sel_premium_8p","Seat them where they’ll ride most. Show comfort/space and the ‘together’ features.","Demonstrate passenger comfort: second-row access, storage, and a shared-tech feature.","“This trim is about making everyone comfortable — it’s designed for the people riding with you.”","“Want to sit in both seating layouts so you can feel the difference?”","Practice framing features as ‘how your family uses it’ rather than listing specs.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"1","Self-Validation","palisade_hybrid","2026","Asks for the ‘best’ trim, standout design, premium feel, or status features.","limited -> calligraphy","Start with top-trim walkaround cues (design, materials, tech). Confirm what ‘premium’ means to them.","Show 1 exterior presence cue + 1 interior materials/tech cue + 1 convenience feature they’ll use daily.","“This trim is designed to feel premium every time you get in — it’s the one that makes the biggest impression.”","“If we can get this exact trim in the color you want, are you ready to move forward today?”","Practice turning a ‘Why is this more?’ question into a benefits-first explanation tied to premium feel.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"2","Autonomy","palisade_hybrid","2026","Wants a simple process, hates pressure, values flexibility and control over the decision.","sel_7p -> sel_8p","Offer 2 clear options and let them choose the path (features vs payment vs availability).","Demonstrate ease-of-use: phone pairing, driver settings, and one ‘friction remover’ feature.","“This is the trim that keeps things straightforward — it gives you control without the extra noise.”","“Which direction do you want to go: best value, most convenience, or quickest availability?”","Practice giving two options and pausing (no over-talking) so the guest stays in control.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"3","Prudence","palisade_hybrid","2026","Compares trims, asks for data, wants ‘smart value’ and long-term cost clarity.","sel_7p -> blue_sel_7p","Use a simple value ladder: base value → key upgrade → best overall value. Keep it factual.","Show the ‘value delta’ feature: the one upgrade that clearly justifies stepping up (or staying put).","“If you’re making the smart decision, this trim gives you the best return for what you actually use.”","“Want to compare these two trims side-by-side on price and key features?”","Practice answering ‘What’s the difference?’ with 3 bullets: safety, comfort, tech (verified).","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"4","Security","palisade_hybrid","2026","Mentions family safety, weather, reliability, driver-assist, or ‘peace of mind.’","sel_premium_8p -> limited","Confirm their safety priorities, then demonstrate the confidence features that match.","Show driver-assist basics + visibility + one stability/traction story relevant to local roads.","“This trim is built to help you feel confident — it’s about peace of mind on every drive.”","“If this meets your safety checklist, should we lock in the exact one you want?”","Practice explaining driver-assist as ‘support’ (not autonomous driving) and confirming expectations.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"5","Reward","palisade_hybrid","2026","Wants performance, style, ‘fun factor,’ rugged look, or a trim that feels exciting.","limited -> calligraphy","Lean into emotional benefits: look, feel, and capability. Tie features to lifestyle.","Show 1 design cue + 1 performance/capability cue + 1 ‘wow’ tech feature.","“This is the trim that feels like a reward — it’s the one you’ll be excited to drive.”","“If this is the one that makes you smile, want to take it for a quick drive right now?”","Practice converting ‘I want the sporty one’ into a tight feature story + next step.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"6","Connection","palisade_hybrid","2026","Talks about family/friends, comfort for passengers, space, and shared experiences.","sel_premium_7p -> sel_premium_8p","Seat them where they’ll ride most. Show comfort/space and the ‘together’ features.","Demonstrate passenger comfort: second-row access, storage, and a shared-tech feature.","“This trim is about making everyone comfortable — it’s designed for the people riding with you.”","“Want to sit in both seating layouts so you can feel the difference?”","Practice framing features as ‘how your family uses it’ rather than listing specs.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"1","Self-Validation","santa_cruz_awd","2026","Asks for the ‘best’ trim, standout design, premium feel, or status features.","limited","Start with top-trim walkaround cues (design, materials, tech). Confirm what ‘premium’ means to them.","Show 1 exterior presence cue + 1 interior materials/tech cue + 1 convenience feature they’ll use daily.","“This trim is designed to feel premium every time you get in — it’s the one that makes the biggest impression.”","“If we can get this exact trim in the color you want, are you ready to move forward today?”","Practice turning a ‘Why is this more?’ question into a benefits-first explanation tied to premium feel.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you. Avoid quoting tow/payload ratings unless verified on the window sticker/spec sheet."
"2","Autonomy","santa_cruz_awd","2026","Wants a simple process, hates pressure, values flexibility and control over the decision.","se -> sel","Offer 2 clear options and let them choose the path (features vs payment vs availability).","Demonstrate ease-of-use: phone pairing, driver settings, and one ‘friction remover’ feature.","“This is the trim that keeps things straightforward — it gives you control without the extra noise.”","“Which direction do you want to go: best value, most convenience, or quickest availability?”","Practice giving two options and pausing (no over-talking) so the guest stays in control.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you. Avoid quoting tow/payload ratings unless verified on the window sticker/spec sheet."
"3","Prudence","santa_cruz_awd","2026","Compares trims, asks for data, wants ‘smart value’ and long-term cost clarity.","se -> sel","Use a simple value ladder: base value → key upgrade → best overall value. Keep it factual. If towing/payload comes up, confirm intended use and verify exact ratings on the sticker/spec sheet.","Show the ‘value delta’ feature: the one upgrade that clearly justifies stepping up (or staying put).","“If you’re making the smart decision, this trim gives you the best return for what you actually use.”","“Want to compare these two trims side-by-side on price and key features?”","Practice answering ‘What’s the difference?’ with 3 bullets: safety, comfort, tech (verified).","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you. Avoid quoting tow/payload ratings unless verified on the window sticker/spec sheet."
"4","Security","santa_cruz_awd","2026","Mentions family safety, weather, reliability, driver-assist, or ‘peace of mind.’","se -> sel","Confirm their safety priorities, then demonstrate the confidence features that match. If towing/payload comes up, confirm intended use and verify exact ratings on the sticker/spec sheet.","Show driver-assist basics + visibility + one stability/traction story relevant to local roads.","“This trim is built to help you feel confident — it’s about peace of mind on every drive.”","“If this meets your safety checklist, should we lock in the exact one you want?”","Practice explaining driver-assist as ‘support’ (not autonomous driving) and confirming expectations.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you. Avoid quoting tow/payload ratings unless verified on the window sticker/spec sheet."
"5","Reward","santa_cruz_awd","2026","Wants performance, style, ‘fun factor,’ rugged look, or a trim that feels exciting.","xrt -> sel_activity","Lean into emotional benefits: look, feel, and capability. Tie features to lifestyle. If towing/payload comes up, confirm intended use and verify exact ratings on the sticker/spec sheet.","Show 1 design cue + 1 performance/capability cue + 1 ‘wow’ tech feature.","“This is the trim that feels like a reward — it’s the one you’ll be excited to drive.”","“If this is the one that makes you smile, want to take it for a quick drive right now?”","Practice converting ‘I want the sporty one’ into a tight feature story + next step.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you. Avoid quoting tow/payload ratings unless verified on the window sticker/spec sheet."
"6","Connection","santa_cruz_awd","2026","Talks about family/friends, comfort for passengers, space, and shared experiences.","sel_activity","Seat them where they’ll ride most. Show comfort/space and the ‘together’ features.","Demonstrate passenger comfort: second-row access, storage, and a shared-tech feature.","“This trim is about making everyone comfortable — it’s designed for the people riding with you.”","“Want to sit in both seating layouts so you can feel the difference?”","Practice framing features as ‘how your family uses it’ rather than listing specs.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you. Avoid quoting tow/payload ratings unless verified on the window sticker/spec sheet."
