motivator_number,model,model_year,guest_signals,recommended_trim_path,on_lot_handles,demo_60_seconds,translate_line,invite_next_step,coach_roleplay_prompt,compliance_note
5,elantra_hybrid,2026,"Calls it a treat; wants something enjoyable daily; cares about comfort, sound, and that 'wow' feeling.",SEL Sport -> Limited,Driver seat comfort moment; sporty feel (N-Line/N where applicable); quick tech + audio moment; clean cockpit vibe.,"Seat them comfortably, adjust one comfort feature, and let them feel the cabin vibe. If appropriate, play a favorite song briefly. Start it and invite a short loop drive-then stop talking.","What that means for you is enjoying the drive, not just owning the vehicle.","Let's take a short loop-if it feels like a reward, you'll know quickly.",Coach: create one memorable moment + deliver one clean close line; then stop talking.,Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
6,elantra_hybrid,2026,"Talks about family/friends, comfort for passengers, and shared experiences; cares about space and usability.",SEL -> Limited,Rear seat comfort/legroom; trunk practicality; phone connectivity for passengers; quiet ride feel.,Ask who rides with them most. Show rear seat space and trunk usability for real-life items. Pair a phone quickly and highlight a passenger-friendly USB/comfort feature (where equipped).,What that means for you is everyone gets a good seat-and the plan actually works.,"Let's do a quick drive with everyone comfortable, then we'll confirm the right trim for your 'we' needs.",Role-play: ask a 'we question' then demonstrate passenger space without rushing.,Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
1,ioniq_5_awd,2026,"Wants the top trim; cares about presence, premium feel, 'best one', and how it looks/feels when arriving.",SEL -> Limited (XRT if adventure presence fits),First impression stance/design; premium cabin materials; dual display/tech walk-through; one premium comfort detail.,Stand 10-15 feet back for the 'arrival moment'. Walk up: call out signature design cues. Open the door: invite them to touch the seat/cabin materials. Sit: show the displays and one premium comfort feature.,What that means for you is a vehicle that represents you the moment you arrive.,"Let's take a short loop so you can feel the quiet, comfort, and premium ride.",Role-play the 'arrival moment' close in one sentence. Coach for calm confidence (no hype).,Avoid quoting range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package. Confirm charging equipment and driver-assist items on the vehicle in front of you.
2,ioniq_5_awd,2026,"Talks about control, flexibility, and not wanting surprises; values convenient access and easy day-to-day use.",SE -> SEL (then compare AWD vs RWD if relevant),Easy charging plan; phone/app control; driver profile setup; one 'makes EV life simple' feature.,Show the charge port location and how they'd plug in at home (no numbers). Show one simple menu/app control. Then do a 30-second cockpit tour: displays + one comfort feature.,What that means for you is fewer obstacles and more control day-to-day.,"If you'd like, we can compare two trims quickly so you choose what gives you the most control for your needs.",Role-play: explain 'control' without jargon-one feature + one benefit in 15 seconds.,Avoid quoting range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package. Confirm charging equipment and driver-assist items on the vehicle in front of you.
3,ioniq_5_awd,2026,"Asks about total cost, incentives, charging value, and the smartest way to buy/lease EV.",SE -> SEL -> Limited (if features justify),Home charging story; simple cost comparison (gas vs electric concept); warranty/ownership story.,Show the charge port location and how they'd plug in at home (no numbers). Show one simple menu/app control. Then do a 30-second cockpit tour: displays + one comfort feature.,What that means for you is getting the most return from every dollar you spend.,Let's drive it to make sure the smart choice also feels right-then we'll pick the best value trim.,Role-play: 'smart choice' explanation in 15 seconds with zero jargon.,Avoid quoting range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package. Confirm charging equipment and driver-assist items on the vehicle in front of you.
4,ioniq_5_awd,2026,"Mentions safety, confidence, warranties, driver-assist, predictable handling, and peace of mind-especially with AWD confidence.",SEL -> Limited (focus on driver-assist + visibility/cameras where equipped),Confidence features; driver-assist overview; stability/traction feel; visibility and cameras (where equipped).,Point out key safety hardware locations. Show a safety setting/display in the cluster/infotainment. Translate it into 'less stress every trip'.,What that means for you is less stress-and more confidence every trip.,"On the test drive, I'll show you how the safety assists feel in real traffic so you can decide comfortably.",Role-play: explain one safety feature in 10 seconds-what it is + what it means for them.,Avoid quoting range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package. Confirm charging equipment and driver-assist items on the vehicle in front of you.
5,ioniq_5_awd,2026,"Calls it a treat; wants something enjoyable daily; cares about comfort, sound, and that 'wow' feeling.",SEL -> Limited (XRT for adventure-reward),Comfort seating moment; cabin quiet/ride feel; audio 'favorite song' moment (where equipped); ambience features (where equipped).,"Seat them comfortably, adjust one comfort feature, and let them feel the cabin vibe. If appropriate, play a favorite song briefly. Start it and invite a short loop drive-then stop talking.","What that means for you is enjoying the drive, not just owning the vehicle.","Let's take a short loop-if it feels like a reward, you'll know quickly.",Coach: create one memorable moment + deliver one clean close line; then stop talking.,Avoid quoting range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package. Confirm charging equipment and driver-assist items on the vehicle in front of you.
6,ioniq_5_awd,2026,"Talks about family/friends, comfort for passengers, and shared experiences; cares about space and usability.",SEL -> Limited,Passenger comfort check; easy access; storage/cargo flexibility; 'how the group lives' walkthrough.,"Ask a quick 'we' question. Then do a fast passenger-comfort demo: seating access, legroom, storage, and cargo flexibility based on their real life.",What that means for you is everyone gets a good seat-and the plan actually works.,"Let's do a quick drive with everyone comfortable, then we'll confirm the right trim for your 'we' needs.",Role-play: ask a 'we question' then demonstrate passenger space without rushing.,Avoid quoting range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package. Confirm charging equipment and driver-assist items on the vehicle in front of you.
1,ioniq_9_awd,2026,"Wants the top trim; cares about presence, premium feel, 'best one', and how it looks/feels when arriving.",Performance Limited -> Performance Calligraphy (Design if available),First impression stance/design; premium cabin materials; dual display/tech walk-through; one premium comfort detail.,Stand 10-15 feet back for the 'arrival moment'. Walk up: call out signature design cues. Open the door: invite them to touch the seat/cabin materials. Sit: show the displays and one premium comfort feature.,What that means for you is a vehicle that represents you the moment you arrive.,"Let's take a short loop so you can feel the quiet, comfort, and premium ride.",Role-play the 'arrival moment' close in one sentence. Coach for calm confidence (no hype).,Avoid quoting range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package. Confirm charging equipment and driver-assist items on the vehicle in front of you.
2,ioniq_9_awd,2026,"Talks about control, flexibility, and not wanting surprises; values convenient access and easy day-to-day use.",SE -> SEL (then compare Performance trims if needed),Easy charging plan; phone/app control; driver profile setup; one 'makes EV life simple' feature.,Show the charge port location and how they'd plug in at home (no numbers). Show one simple menu/app control. Then do a 30-second cockpit tour: displays + one comfort feature.,What that means for you is fewer obstacles and more control day-to-day.,"If you'd like, we can compare two trims quickly so you choose what gives you the most control for your needs.",Role-play: explain 'control' without jargon-one feature + one benefit in 15 seconds.,Avoid quoting range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package. Confirm charging equipment and driver-assist items on the vehicle in front of you.
3,ioniq_9_awd,2026,"Asks about total cost, incentives, charging value, and the smartest way to buy/lease EV.",SE -> SEL -> Performance Limited (if the use case supports it),Home charging story; simple cost comparison (gas vs electric concept); warranty/ownership story.,Show the charge port location and how they'd plug in at home (no numbers). Show one simple menu/app control. Then do a 30-second cockpit tour: displays + one comfort feature.,What that means for you is getting the most return from every dollar you spend.,Let's drive it to make sure the smart choice also feels right-then we'll pick the best value trim.,Role-play: 'smart choice' explanation in 15 seconds with zero jargon.,Avoid quoting range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package. Confirm charging equipment and driver-assist items on the vehicle in front of you.
4,ioniq_9_awd,2026,"Mentions safety, confidence, warranties, driver-assist, predictable handling, and peace of mind-especially with AWD confidence.",SEL -> Performance Limited -> Performance Calligraphy,Confidence features; driver-assist overview; stability/traction feel; visibility and cameras (where equipped).,Point out key safety hardware locations. Show a safety setting/display in the cluster/infotainment. Translate it into 'less stress every trip'.,What that means for you is less stress-and more confidence every trip.,"On the test drive, I'll show you how the safety assists feel in real traffic so you can decide comfortably.",Role-play: explain one safety feature in 10 seconds-what it is + what it means for them.,Avoid quoting range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package. Confirm charging equipment and driver-assist items on the vehicle in front of you.
5,ioniq_9_awd,2026,"Calls it a treat; wants something enjoyable daily; cares about comfort, sound, and that 'wow' feeling.",Performance Limited -> Performance Calligraphy (Design if available),Comfort seating moment; cabin quiet/ride feel; audio 'favorite song' moment (where equipped); ambience features (where equipped).,"Seat them comfortably, adjust one comfort feature, and let them feel the cabin vibe. If appropriate, play a favorite song briefly. Start it and invite a short loop drive-then stop talking.","What that means for you is enjoying the drive, not just owning the vehicle.","Let's take a short loop-if it feels like a reward, you'll know quickly.",Coach: create one memorable moment + deliver one clean close line; then stop talking.,Avoid quoting range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package. Confirm charging equipment and driver-assist items on the vehicle in front of you.
6,ioniq_9_awd,2026,"Talks about family/friends, comfort for passengers, and shared experiences; cares about space and usability.",SEL -> Performance Limited -> Performance Calligraphy (prioritize passenger comfort),Passenger comfort check; easy access; storage/cargo flexibility; 'how the group lives' walkthrough.,"Ask a quick 'we' question. Then do a fast passenger-comfort demo: seating access, legroom, storage, and cargo flexibility based on their real life.",What that means for you is everyone gets a good seat-and the plan actually works.,"Let's do a quick drive with everyone comfortable, then we'll confirm the right trim for your 'we' needs.",Role-play: ask a 'we question' then demonstrate passenger space without rushing.,Avoid quoting range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package. Confirm charging equipment and driver-assist items on the vehicle in front of you.
1,kona_awd,2026,"Wants the top trim; cares about presence, premium feel, 'best one', and how it looks/feels when arriving.",SEL Premium -> Limited,First impression stance/design; premium cabin materials; dual display/tech walk-through; one premium comfort detail.,Stand 10-15 feet back for the 'arrival moment'. Walk up: call out signature design cues. Open the door: invite them to touch the seat/cabin materials. Sit: show the displays and one premium comfort feature.,What that means for you is a vehicle that represents you the moment you arrive.,"Let's take a short loop so you can feel the quiet, comfort, and premium ride.",Role-play the 'arrival moment' close in one sentence. Coach for calm confidence (no hype).,Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
2,kona_awd,2026,"Talks about control, flexibility, and not wanting surprises; values convenient access and easy day-to-day use.",SE -> SEL Sport (then compare SEL Premium if tech matters),Convenience tech; quick setup/phone pairing; simple storage/cargo access; one 'makes life easier' feature.,"Show one convenience feature (pair a phone / driver profile / quick settings). Demonstrate a fast real-life action: load/unload, seat fold, or keyless access. Keep it simple and guest-friendly.",What that means for you is fewer obstacles and more control day-to-day.,"If you'd like, we can compare two trims quickly so you choose what gives you the most control for your needs.",Role-play: explain 'control' without jargon-one feature + one benefit in 15 seconds.,Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
3,kona_awd,2026,"Asks about value, ownership costs, efficiency, resale, and the smartest trim choice.",SEL Sport -> SEL Premium -> Limited,3-bullet value step-up; warranty/ownership story; efficiency/driver info displays (where applicable).,Give the '3-bullet value path': what changes from the value trim to the next trim up. Show one ownership-friendly feature and explain ROI in plain English.,What that means for you is getting the most return from every dollar you spend.,Let's drive it to make sure the smart choice also feels right-then we'll pick the best value trim.,Role-play: 'smart choice' explanation in 15 seconds with zero jargon.,Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
4,kona_awd,2026,"Mentions safety, confidence, warranties, driver-assist, predictable handling, and peace of mind-especially with AWD confidence.",SEL/SEL Convenience -> Limited (prioritize driver-assist + AWD confidence),Safety/driver-assist walkaround; visibility; cameras/sensors (where equipped); 'what it does for you' translation.,Point out key safety hardware locations. Show a safety setting/display in the cluster/infotainment. Translate it into 'less stress every trip'.,What that means for you is less stress-and more confidence every trip.,"On the test drive, I'll show you how the safety assists feel in real traffic so you can decide comfortably.",Role-play: explain one safety feature in 10 seconds-what it is + what it means for them.,Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
5,kona_awd,2026,"Calls it a treat; wants something enjoyable daily; cares about comfort, sound, and that 'wow' feeling.",SEL Premium -> Limited,Comfort seating moment; cabin quiet/ride feel; audio 'favorite song' moment (where equipped); ambience features (where equipped).,"Seat them comfortably, adjust one comfort feature, and let them feel the cabin vibe. If appropriate, play a favorite song briefly. Start it and invite a short loop drive-then stop talking.","What that means for you is enjoying the drive, not just owning the vehicle.","Let's take a short loop-if it feels like a reward, you'll know quickly.",Coach: create one memorable moment + deliver one clean close line; then stop talking.,Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
6,kona_awd,2026,"Talks about family/friends, comfort for passengers, and shared experiences; cares about space and usability.",SEL Sport -> SEL Premium (prioritize comfort + usability),Passenger comfort check; easy access; storage/cargo flexibility; 'how the group lives' walkthrough.,"Ask a quick 'we' question. Then do a fast passenger-comfort demo: seating access, legroom, storage, and cargo flexibility based on their real life.",What that means for you is everyone gets a good seat-and the plan actually works.,"Let's do a quick drive with everyone comfortable, then we'll confirm the right trim for your 'we' needs.",Role-play: ask a 'we question' then demonstrate passenger space without rushing.,Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
1,palisade_awd,2026,"Wants the top trim; cares about presence, premium feel, 'best one', and how it looks/feels when arriving.",Limited -> Calligraphy (or highest-available premium package),First impression stance/design; premium cabin materials; dual display/tech walk-through; one premium comfort detail.,Stand 10-15 feet back for the 'arrival moment'. Walk up: call out signature design cues. Open the door: invite them to touch the seat/cabin materials. Sit: show the displays and one premium comfort feature.,What that means for you is a vehicle that represents you the moment you arrive.,"Let's take a short loop so you can feel the quiet, comfort, and premium ride.",Role-play the 'arrival moment' close in one sentence. Coach for calm confidence (no hype).,Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
2,palisade_awd,2026,"Talks about control, flexibility, and not wanting surprises; values convenient access and easy day-to-day use.",SEL Convenience -> SEL Premium (then compare seating 7P/8P if relevant),Convenience tech; quick setup/phone pairing; simple storage/cargo access; one 'makes life easier' feature.,"Show one convenience feature (pair a phone / driver profile / quick settings). Demonstrate a fast real-life action: load/unload, seat fold, or keyless access. Keep it simple and guest-friendly.",What that means for you is fewer obstacles and more control day-to-day.,"If you'd like, we can compare two trims quickly so you choose what gives you the most control for your needs.",Role-play: explain 'control' without jargon-one feature + one benefit in 15 seconds.,Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
3,palisade_awd,2026,"Asks about value, ownership costs, efficiency, resale, and the smartest trim choice.",SEL Convenience -> SEL Premium -> Limited (if the value case is clear),3-bullet value step-up; warranty/ownership story; efficiency/driver info displays (where applicable).,Give the '3-bullet value path': what changes from the value trim to the next trim up. Show one ownership-friendly feature and explain ROI in plain English.,What that means for you is getting the most return from every dollar you spend.,Let's drive it to make sure the smart choice also feels right-then we'll pick the best value trim.,Role-play: 'smart choice' explanation in 15 seconds with zero jargon.,Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
4,palisade_awd,2026,"Mentions safety, confidence, warranties, driver-assist, predictable handling, and peace of mind-especially with AWD confidence.",SEL/SEL Convenience -> Limited (prioritize driver-assist + AWD confidence),Safety/driver-assist walkaround; visibility; cameras/sensors (where equipped); 'what it does for you' translation.,Point out key safety hardware locations. Show a safety setting/display in the cluster/infotainment. Translate it into 'less stress every trip'.,What that means for you is less stress-and more confidence every trip.,"On the test drive, I'll show you how the safety assists feel in real traffic so you can decide comfortably.",Role-play: explain one safety feature in 10 seconds-what it is + what it means for them.,Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
5,palisade_awd,2026,"Calls it a treat; wants something enjoyable daily; cares about comfort, sound, and that 'wow' feeling.",Limited -> Calligraphy (or XRT PRO if adventure-reward fits),Comfort seating moment; cabin quiet/ride feel; audio 'favorite song' moment (where equipped); ambience features (where equipped).,"Seat them comfortably, adjust one comfort feature, and let them feel the cabin vibe. If appropriate, play a favorite song briefly. Start it and invite a short loop drive-then stop talking.","What that means for you is enjoying the drive, not just owning the vehicle.","Let's take a short loop-if it feels like a reward, you'll know quickly.",Coach: create one memorable moment + deliver one clean close line; then stop talking.,Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
6,palisade_awd,2026,"Talks about family/friends, comfort for passengers, and shared experiences; cares about space and usability.",SEL Premium -> Limited -> Calligraphy (prioritize comfort + family features),Passenger comfort check; easy access; storage/cargo flexibility; 'how the group lives' walkthrough.,"Ask a quick 'we' question. Then do a fast passenger-comfort demo: seating access, legroom, storage, and cargo flexibility based on their real life.",What that means for you is everyone gets a good seat-and the plan actually works.,"Let's do a quick drive with everyone comfortable, then we'll confirm the right trim for your 'we' needs.",Role-play: ask a 'we question' then demonstrate passenger space without rushing.,Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
1,palisade_hybrid,2026,"Wants the top trim; cares about presence, premium feel, 'best one', and how it looks/feels when arriving.",Limited -> Calligraphy (or highest-available premium package),First impression stance/design; premium cabin materials; dual display/tech walk-through; one premium comfort detail.,Stand 10-15 feet back for the 'arrival moment'. Walk up: call out signature design cues. Open the door: invite them to touch the seat/cabin materials. Sit: show the displays and one premium comfort feature.,What that means for you is a vehicle that represents you the moment you arrive.,"Let's take a short loop so you can feel the quiet, comfort, and premium ride.",Role-play the 'arrival moment' close in one sentence. Coach for calm confidence (no hype).,Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
2,palisade_hybrid,2026,"Talks about control, flexibility, and not wanting surprises; values convenient access and easy day-to-day use.",SEL Convenience -> SEL Premium (then compare seating 7P/8P if relevant),Easy charging plan; phone/app control; driver profile setup; one 'makes EV life simple' feature.,"Show one convenience feature (pair a phone / driver profile / quick settings). Demonstrate a fast real-life action: load/unload, seat fold, or keyless access. Keep it simple and guest-friendly.",What that means for you is fewer obstacles and more control day-to-day.,"If you'd like, we can compare two trims quickly so you choose what gives you the most control for your needs.",Role-play: explain 'control' without jargon-one feature + one benefit in 15 seconds.,Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
3,palisade_hybrid,2026,"Asks about total cost, incentives, charging value, and the smartest way to buy/lease EV.",SEL Convenience -> SEL Premium -> Limited (if the value case is clear),Home charging story; simple cost comparison (gas vs electric concept); warranty/ownership story.,Give the '3-bullet value path': what changes from the value trim to the next trim up. Show one ownership-friendly feature and explain ROI in plain English.,What that means for you is getting the most return from every dollar you spend.,Let's drive it to make sure the smart choice also feels right-then we'll pick the best value trim.,Role-play: 'smart choice' explanation in 15 seconds with zero jargon.,Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
4,palisade_hybrid,2026,"Mentions safety, confidence, warranties, driver-assist, predictable handling, and peace of mind.",SEL Premium -> Limited -> Calligraphy (focus on driver-assist availability),Confidence features; driver-assist overview; stability/traction feel; visibility and cameras (where equipped).,Point out key safety hardware locations. Show a safety setting/display in the cluster/infotainment. Translate it into 'less stress every trip'.,What that means for you is less stress-and more confidence every trip.,"On the test drive, I'll show you how the safety assists feel in real traffic so you can decide comfortably.",Role-play: explain one safety feature in 10 seconds-what it is + what it means for them.,Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
5,palisade_hybrid,2026,"Calls it a treat; wants something enjoyable daily; cares about comfort, sound, and that 'wow' feeling.",Limited -> Calligraphy (or XRT PRO if adventure-reward fits),Comfort seating moment; cabin quiet/ride feel; audio 'favorite song' moment (where equipped); ambience features (where equipped).,"Seat them comfortably, adjust one comfort feature, and let them feel the cabin vibe. If appropriate, play a favorite song briefly. Start it and invite a short loop drive-then stop talking.","What that means for you is enjoying the drive, not just owning the vehicle.","Let's take a short loop-if it feels like a reward, you'll know quickly.",Coach: create one memorable moment + deliver one clean close line; then stop talking.,Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
