model,model_year,trim,motivator_number,channel,adjective_key,adjective_customer,boost,feature_anchor,notes
sonata_hybrid,2026,blue,3,any,efficient,efficient,5,cost_to_own,total_value_framing
sonata_hybrid,2026,sel,3,any,smart,smart,4,hybrid_efficiency,prudence_choice
sonata_hybrid,2026,limited,1,any,polished,polished,5,dual_screens,tech_forward_prestige
tucson_awd,2026,se,3,any,sensible,sensible,4,reliability,practical_decision_support
tucson_awd,2026,xrt,5,any,bold,bold,4,rugged_stance,visual_reward_for_styling
tucson_awd,2026,sel_convenience,2,any,simple,simple,4,daily_tech,removing_friction_from_process
tucson_awd,2026,limited,1,any,standout,standout,5,tech_walkthrough,class_above_status
tucson_hybrid,2026,blue_se_awd,3,any,efficient,efficient,5,mpg_story,direct_practical_hook
tucson_hybrid,2026,sel,3,any,smart,smart,4,hybrid_value,logical_upgrade
tucson_hybrid,2026,limited,1,any,refined,refined,5,interior_finish,upscale_hybrid_positioning
tucson_phev,2026,sel,2,any,flexible,flexible,5,drive_modes,control_over_ev_vs_gas_choice
tucson_phev,2026,limited,1,any,elevated,elevated,5,phev_performance,modern_tech_reward
venue,2026,se_at,3,any,smart,smart,5,urban_mobility,logic_first_city_choice
venue,2026,sel_at,2,any,convenient,convenient,5,easy_parking,removing_urban_driving_stress
venue,2026,sel_2_tone_roof,1,any,polished,polished,4,styling_details,visual_standout_status
